City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Svarychiv,UA,48.9622,24.1966,30.2,64,0,6.71,clear sky
178,Imbituba,BR,-28.24,-48.6703,73.4,88,20,8.57,few clouds
179,Sitka,US,57.0531,-135.33,42.8,70,75,3.56,broken clouds
180,Kalawit,PH,8.0667,122.5167,83.91,72,90,12.59,overcast clouds
181,Dicabisagan,PH,17.0818,122.4157,82.62,56,2,8.39,clear sky
182,Bambous Virieux,MU,-20.3428,57.7575,82.0,83,20,6.91,few clouds
183,Vanavara,RU,60.34,102.2797,16.07,94,100,12.93,overcast clouds
184,Talakan,RU,50.3167,130.3667,23.74,93,77,7.92,broken clouds
185,Hofn,IS,64.2539,-15.2082,39.07,71,100,7.45,overcast clouds
186,Yining,CN,29.0361,114.5636,49.57,86,100,1.16,overcast clouds
187,Nishihara,JP,26.1842,127.7558,75.2,56,40,10.36,scattered clouds
188,Sindor,RU,62.8629,51.8905,-5.53,91,100,5.59,overcast clouds
189,Trelew,AR,-43.249,-65.3051,59.27,32,0,12.46,clear sky
190,Ola,RU,59.5833,151.2833,0.27,84,0,4.65,clear sky
191,Chokurdakh,RU,70.6333,147.9167,-13.4,89,100,7.11,overcast clouds
192,Isabela,PH,6.7085,121.9711,86.0,70,90,6.91,overcast clouds
193,Mizdah,LY,31.4451,12.9801,53.31,71,32,19.8,scattered clouds
194,Booue,GA,-0.0921,11.9385,72.27,94,92,2.1,overcast clouds
195,Grindavik,IS,63.8424,-22.4338,42.8,100,90,27.63,overcast clouds
196,Oktyabrskoye,RU,43.0645,44.7417,23.0,93,4,2.24,clear sky
197,Maragogi,BR,-9.0122,-35.2225,76.77,87,29,6.24,scattered clouds
198,Alipur Chatha,PK,32.2688,73.819,66.2,68,40,9.22,smoke
199,Cozumel,MX,20.5083,-86.9458,73.4,68,40,10.36,scattered clouds
200,Lagoa,PT,39.05,-27.9833,59.23,98,82,12.01,broken clouds
201,Cumpas,MX,29.9833,-109.7833,65.26,32,60,1.88,broken clouds
202,Svolvaer,NO,68.2342,14.5683,30.0,89,100,5.01,light snow
203,Cururupu,BR,-1.8283,-44.8683,74.37,96,99,1.99,overcast clouds
204,Moose Factory,CA,51.2585,-80.6094,8.6,51,1,6.91,clear sky
205,Merauke,ID,-8.4667,140.3333,85.6,63,86,8.21,overcast clouds
206,Burnie,AU,-41.0667,145.9167,68.0,59,100,5.01,moderate rain
207,Broken Hill,AU,-31.95,141.4333,84.2,26,40,10.36,scattered clouds
208,Dzerzhinskoye,RU,56.8344,95.2283,22.35,94,32,5.23,scattered clouds
209,Santa Helena De Goias,BR,-17.8136,-50.5969,68.63,94,100,5.48,overcast clouds
210,Lompoc,US,34.6391,-120.4579,50.0,87,90,4.61,overcast clouds
211,Rocha,UY,-34.4833,-54.3333,62.76,95,0,7.14,clear sky
212,Shirvan,AZ,39.9509,48.8994,39.51,72,95,9.26,overcast clouds
213,Esperance,AU,-33.8667,121.9,71.6,60,40,9.22,scattered clouds
214,Batouri,CM,4.4333,14.3667,64.87,86,98,2.8,overcast clouds
215,Kita,ML,13.0349,-9.4895,75.6,25,51,2.01,broken clouds
216,Ballina,AU,-28.8667,153.5667,75.99,88,75,6.91,broken clouds
217,Ribeira Grande,PT,38.5167,-28.7,60.01,93,82,9.04,broken clouds
218,Catamarca,AR,-28.4696,-65.7852,78.01,77,0,7.4,clear sky
219,Dennery,LC,13.8996,-60.8879,80.6,65,40,18.41,scattered clouds
220,Severo-Kurilsk,RU,50.6789,156.125,17.35,90,99,26.82,light snow
221,Qinzhou,CN,21.95,108.6167,75.74,71,95,14.12,overcast clouds
222,Carmen,MX,18.6333,-91.8333,73.4,77,0,14.18,clear sky
223,Bubaque,GW,11.2833,-15.8333,75.09,70,0,10.87,clear sky
224,Poum,NC,-20.2333,164.0167,79.07,72,29,9.19,scattered clouds
225,Sabang,ID,5.8933,95.3214,82.89,75,87,13.49,overcast clouds
226,Kaitangata,NZ,-46.2817,169.8464,57.99,72,100,5.01,overcast clouds
227,Itarema,BR,-2.9248,-39.9167,77.2,88,100,9.4,overcast clouds
228,Dingle,PH,10.9995,122.6711,83.97,68,91,14.34,light rain
229,Nhamunda,BR,-2.1861,-56.7131,74.59,95,99,2.84,moderate rain
230,Impfondo,CG,1.6381,18.0667,73.94,81,100,3.29,overcast clouds
231,Namibe,AO,-15.1961,12.1522,77.34,77,83,4.29,broken clouds
232,East London,ZA,-33.0153,27.9116,62.6,88,0,3.44,clear sky
233,Koumac,NC,-20.5667,164.2833,78.53,74,70,8.12,broken clouds
234,Aksha,RU,50.2814,113.2867,33.91,86,82,6.53,broken clouds
235,Karratha,AU,-20.7377,116.8463,89.11,58,15,14.63,few clouds
236,Komyshnya,UA,50.1859,33.684,30.25,97,99,16.33,overcast clouds
237,Paramonga,PE,-10.6667,-77.8333,72.41,84,100,3.0,overcast clouds
238,Xuddur,SO,4.1213,43.8894,70.68,76,10,19.89,clear sky
239,Vaitape,PF,-16.5167,-151.75,81.93,79,100,18.54,light rain
240,Iqaluit,CA,63.7506,-68.5145,-2.2,78,90,2.3,light snow
241,Hurghada,EG,27.2574,33.8129,57.2,35,0,9.22,clear sky
242,Uromi,NG,6.7,6.3333,76.57,88,61,5.57,broken clouds
243,Palmerston North,NZ,-40.35,175.6167,68.0,48,48,5.01,scattered clouds
244,Langsa,ID,4.4683,97.9683,94.1,44,76,3.15,broken clouds
245,Port Elizabeth,ZA,-33.918,25.5701,64.4,88,40,14.97,moderate rain
246,Pevek,RU,69.7008,170.3133,-12.73,90,100,18.48,light snow
247,Kenora,CA,49.8167,-94.4337,35.6,93,90,10.36,mist
248,Orhei,MD,47.3831,28.8231,21.2,86,0,2.33,clear sky
249,Sokolka,PL,53.4072,23.5023,24.8,86,40,17.9,snow
250,Agapovka,RU,53.2973,59.1348,10.4,79,90,17.9,light snow
251,Mandalgovi,MN,45.7625,106.2708,40.15,52,0,6.38,clear sky
252,Dunedin,NZ,-45.8742,170.5036,61.0,60,98,4.0,light rain
253,Leopoldina,BR,-21.5319,-42.6431,70.41,96,100,1.16,light rain
254,Pisco,PE,-13.7,-76.2167,73.4,78,0,4.61,clear sky
255,Bapatla,IN,15.9,80.4667,87.12,52,0,12.08,clear sky
256,Fukue,JP,32.6881,128.8419,59.0,58,20,14.97,few clouds
257,Jingdezhen,CN,29.2947,117.2079,60.82,65,97,2.77,moderate rain
258,Alofi,NU,-19.0595,-169.9187,80.6,89,75,9.22,light rain
259,Aykhal,RU,66.0,111.5,7.18,91,100,5.48,overcast clouds
260,Mugumu,TZ,-1.85,34.7,63.32,93,78,2.53,broken clouds
261,Marsa Matruh,EG,31.3525,27.2453,50.0,81,0,5.75,clear sky
262,Malazgirt,TR,39.1427,42.5401,30.97,94,93,8.88,overcast clouds
263,Surt,LY,31.2089,16.5887,61.02,78,96,18.01,overcast clouds
264,Grootfontein,NA,-19.5667,18.1167,64.4,77,40,2.3,scattered clouds
265,Manta,EC,-0.95,-80.7333,77.0,94,75,3.44,moderate rain
266,Bobcaygeon,CA,44.5462,-78.542,12.2,85,1,3.44,clear sky
267,Basco,PH,20.4487,121.9702,76.33,83,38,18.37,scattered clouds
268,Aguimes,ES,27.9054,-15.4461,64.4,68,75,13.8,broken clouds
269,Yulara,AU,-25.2406,130.9889,93.2,22,40,5.75,scattered clouds
270,Achalpur,IN,21.2572,77.5086,94.05,11,0,4.5,clear sky
271,Lysva,RU,58.1086,57.8053,5.79,93,100,5.93,overcast clouds
272,Birao,CF,10.2849,22.7882,68.27,21,83,7.0,broken clouds
273,Naldurg,IN,17.8167,76.3,89.01,16,0,8.23,clear sky
274,Puerto Cabezas,NI,14.0351,-83.3888,74.05,82,8,11.14,clear sky
275,Sonoita,MX,31.85,-112.8333,73.0,16,98,11.01,overcast clouds
276,Te Anau,NZ,-45.4167,167.7167,60.51,50,97,2.59,moderate rain
277,Kavaratti,IN,10.5669,72.642,82.92,66,34,5.5,scattered clouds
278,Atasu,KZ,48.6814,71.6433,32.49,94,100,19.55,overcast clouds
279,Sar-E Pul,AF,35.8333,66.1667,45.18,56,29,0.92,scattered clouds
